ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci0yMDE1MjY4,2015268,Emma,Robinson,Spanish  Portuguese,5.0,4,2.0,100.0,Emma,Robinson,Emma Robinson,,0
VGVhY2hlci0xOTg5NzY0,1989764,Bruce,Hansen,Economics,4.0,3,2.7,66.6667,Bruce,Hansen,Bruce Hansen,Bruce Hansen,100
VGVhY2hlci0yNjgyNzMw,2682730,John,Shutske,Engineering,5.0,1,2.0,100.0,John,Shutske,John Shutske,John Shutske,100
VGVhY2hlci03MjA1MTM=,720513,Ivy,Corfis,Languages,4.1,29,2.4,100.0,Ivy,Corfis,Ivy Corfis,,0
VGVhY2hlci0yNjQwMzYx,2640361,Quanling,Deng,Mathematics,2.5,26,3.9,42.3077,Quanling,Deng,Quanling Deng,,0
VGVhY2hlci0yMDE2ODAw,2016800,Richard,McFarland,Anthropology,4.4,32,2.7,89.4737,Richard,McFarland,Richard McFarland,,0
VGVhY2hlci0xOTcwNTQx,1970541,Carolina,Sarmiento,Consumer Science,2.3,2,2.5,0.0,Carolina,Sarmiento,Carolina Sarmiento,Carolina Sarmiento,100
VGVhY2hlci0yNjQ5ODcy,2649872,Garret,Zastoupil,Ethnic Studies,5.0,1,2.0,100.0,Garret,Zastoupil,Garret Zastoupil,,0
VGVhY2hlci0xODExNTk3,1811597,Randall,Goldsmith,Chemistry,4.2,46,3.7,85.0,Randall,Goldsmith,Randall Goldsmith,Randall Goldsmith,100
VGVhY2hlci0xNDQxNzQx,1441741,Christopher,Taber,Economics,2.9,7,3.6,100.0,Christopher,Taber,Christopher Taber,Christopher Walker,86
VGVhY2hlci0yMjMxMTA4,2231108,Nicole,Rudisill,TA,4.0,3,2.7,33.3333,Nicole,Rudisill,Nicole Rudisill,,0
VGVhY2hlci0xMTg0MjY1,1184265,Jean-Francois,Houde,Economics,2.2,6,3.7,0.0,Jean-Francois,Houde,Jean-Francois Houde,Jean-Francois Houde,100
VGVhY2hlci05NjUxNjg=,965168,Debra,Shapiro,Information Science,4.8,3,3.0,100.0,Debra,Shapiro,Debra Shapiro,,0
VGVhY2hlci0yNjc5NDE0,2679414,David,Bell,Kinesiology,3.0,1,2.0,0.0,David,Bell,David Bell,David Bell,100
VGVhY2hlci0yNjU2NjQ0,2656644,Julie,Astrella,Nursing,1.5,2,4.0,0.0,Julie,Astrella,Julie Astrella,,0
VGVhY2hlci0yNDcwNzQz,2470743,Shannon,Nolen,Philosophy,5.0,2,2.0,100.0,Shannon,Nolen,Shannon Nolen,Shannon Cannon,81
VGVhY2hlci0xMjQ4NDA5,1248409,Karen,Krabbenhoft,Science,4.0,31,2.7,0.0,Karen,Krabbenhoft,Karen Krabbenhoft,,0
VGVhY2hlci0yNjc2OTMy,2676932,Victor,Goldgel-Carballo,Spanish & Portuguese,1.0,1,4.0,0.0,Victor,Goldgel-Carballo,Victor Goldgel-Carballo,Victor Goldgel-Carballo,100
VGVhY2hlci0xODY5MzQ1,1869345,Irene,Hatzopoulos,Languages,5.0,13,2.4,100.0,Irene,Hatzopoulos,Irene Hatzopoulos,,0
VGVhY2hlci0yNDczMTA0,2473104,Brian,Rebel,Physics,4.3,7,3.4,85.7143,Brian,Rebel,Brian Rebel,Brian Rebel,100
VGVhY2hlci0yNTE4ODc4,2518878,Mohamed,Elkhouly,Statistics,3.4,13,3.5,53.8462,Mohamed,Elkhouly,Mohamed Elkhouly,,0
VGVhY2hlci01ODE5NzY=,581976,Amy Quan,Barry,English,4.0,10,3.2,100.0,Amy Quan,Barry,Amy Quan Barry,Amy Barry,100
VGVhY2hlci0yNTgyNzIy,2582722,Kaitlin,Fyfe,Communication,4.7,3,3.3,100.0,Kaitlin,Fyfe,Kaitlin Fyfe,,0
VGVhY2hlci0yNjc0MTY4,2674168,Peter,Van Kan,Neuroscience,5.0,1,4.0,100.0,Peter,Van Kan,Peter Van Kan,Peter Van Kan,100
VGVhY2hlci0yNjczNzIz,2673723,Jennifer,Putney,Human Development,5.0,1,3.0,100.0,Jennifer,Putney,Jennifer Putney,Jennifer Pruitt,80
VGVhY2hlci0yNDk3NzYz,2497763,Cori,Simon-Rasmussen,History,3.0,1,4.0,0.0,Cori,Simon-Rasmussen,Cori Simon-Rasmussen,,0
